id,image,survey_id,logged_boxes,new_boxes
r_7e1cd11acfe801cc8ab2dc4a,images/i_f49f162c974b8441ae5681f9.jpg,g_0235d1a86cf53fa9bcc317ac,[],"[[216.666667,223.333333,427.777778,425.555556]]"
r_584c7cb038b5fdba8e1b47a0,images/i_3d09068b954c2a4f500ecc43.jpg,g_495fc3e5170e839c82003c16,"[[526.666667,0.0,640.0,61.111111]]","[[277.777778,311.111111,332.222222,344.444444]]"
r_b4f6bff3ad9e1a5f7eef14fa,images/i_32d2f3df2e794502314e5575.jpg,g_80fa950419025c758347855f,"[[204.444444,314.444444,222.222222,344.444444],[332.222222,291.111111,365.555556,320.0]]","[[537.777778,391.111111,583.333333,430.0]]"
r_b4ece46d3badc3040dce2f13,images/i_253ceaf4c52b3689e43c91af.jpg,g_c858d11984846fceccfa4a32,[],"[[288.888889,288.888889,355.555556,361.111111]]"
r_239f606ce055d3f9d03a6fc5,images/i_985b235ba8f066f055fc9b6b.jpg,g_34fa78c3a916d2164af01880,[],"[[303.333333,221.111111,372.222222,371.111111]]"
r_3da0bdc62d188ab4fd6a86de,images/i_c04e5817a807d1a33459deae.jpg,g_78130b1b05552b8405310655,[],"[[238.888889,44.444444,267.777778,80.0],[288.888889,277.777778,317.777778,306.666667],[365.555556,305.555556,390.0,328.888889]]"
r_dd939346f86a3d3ddb49beb9,images/i_77c270a0f7014e0b2df72288.jpg,g_b7d6f8fe3799dcff5023063f,"[[436.666667,520.0,467.777778,547.777778],[555.555556,523.333333,587.777778,551.111111]]","[[302.222222,264.444444,348.888889,311.111111],[620.0,442.222222,640.0,491.111111]]"
r_84f57f4d9726078a0fb198c2,images/i_2804de95fcd9967b56d5e326.jpg,g_519d89fa69681068f837608b,[],"[[62.222222,135.555556,633.333333,565.555556]]"
r_41cb2ce06045d0100806b73f,images/i_497f9a8f47488c2afa3d2142.jpg,g_05692e9bd4cd70cde82f1eb8,"[[522.222222,405.555556,543.333333,430.0]]","[[313.333333,285.555556,347.777778,313.333333]]"
r_c9ddea0894e78ab56d5dbc03,images/i_bca98c77c98025680c77efdc.jpg,g_5c1373668118a2ecdb25dcce,[],"[[305.555556,304.444444,363.333333,328.888889]]"
